0.9202586
class4,p
II,0.928843855508543
nonevent,0.0874664913282167
nonevent,0.00487769472467681
nonevent,0.0652442283319999
nonevent,0.00660997748896808
II,0.850027701876775
nonevent,0.0522793225965337
nonevent,0.104162503036823
II,0.99365650183369
nonevent,0.00914177831033269
nonevent,0.262103079058497
nonevent,0.0201610878179529
II,0.727563862362777
Ib,0.996434696012183
nonevent,0.375302443448696
Ib,0.837562348535974
nonevent,0.111824860011036
nonevent,0.217552389830063
nonevent,0.098240948017623
nonevent,0.0179766977673435
Ib,0.966219133200825
nonevent,0.0529262584677918
nonevent,0.00183097751455008
nonevent,0.546050814402622
Ia,0.985569449523491
nonevent,2.15408678155837e-05
nonevent,0.310172145940369
Ib,0.969809466177515
II,0.994103197286797
II,0.88770752401036
II,0.998235538072155
II,0.995781395615552
nonevent,3.12194323652815e-05
Ib,0.982078328979031
II,0.998863954450492
Ib,0.895473102827941
nonevent,0.00160534278723756
nonevent,0.00339079684874088
nonevent,0.00833440971672395
II,0.972088651244519
nonevent,0.461054599392621
II,0.974422869177147
nonevent,0.000621219171692111
II,0.866050613367371
II,0.902457839792354
nonevent,0.00154107144463111
nonevent,0.000914264848515978
nonevent,0.186037362229767
nonevent,0.0259185260516043
Ib,0.978875043020983
nonevent,0.0651781661355595
nonevent,0.179070985831015
II,0.88753061513413
Ib,0.999810100350161
nonevent,0.0641175853742509
II,0.988726454730499
nonevent,0.159996869524304
Ib,0.998769620364333
Ib,0.766910526761143
nonevent,0.521262136444368
nonevent,0.000961889034182817
nonevent,0.0601987911917412
Ib,0.994352888661425
II,0.997187105038639
nonevent,0.523197041947963
nonevent,0.0207696557353712
Ib,0.937133171591245
II,0.901296310041338
II,0.984509977951861
II,0.931002696184367
nonevent,0.531166314974442
nonevent,0.296935698590016
II,0.914206517041234
nonevent,0.100973046336892
Ib,0.999199200811444
II,0.892145240818407
nonevent,0.00400265183554427
nonevent,0.00284038637709427
II,0.996766953842542
nonevent,0.00220947888238254
nonevent,0.339566895840631
